,man_ratio_total
867,0.7450980392156863
868,1.0
869,0.9
870,0.75
871,0.725
872,0.6140350877192983
873,0.6666666666666666
874,0.515625
875,0.75
876,0.5294117647058824
877,1.0
878,0.574468085106383
879,0.3225806451612903
880,0.525
881,0.6
882,0.4431818181818182
883,0.3191489361702128
884,0.5
885,0.639344262295082
886,1.0
887,1.0
888,0.9
889,0.47058823529411764
890,0.75
891,0.4
892,0.3333333333333333
893,1.0
894,0.3076923076923077
895,0.7777777777777778
896,0.5882352941176471
897,0.8571428571428571
898,0.5
899,0.25
900,0.5555555555555556
901,1.0
902,0.375
903,0.9
904,1.0
905,1.0
906,0.6666666666666666
907,1.0
908,1.0
909,0.6
910,0.3333333333333333
911,0.8
912,0.0
913,0.7142857142857143
914,1.0
915,1.0
916,0.9285714285714286
917,0.07692307692307693
918,0.42857142857142855
919,0.6666666666666666
920,0.7142857142857143
921,1.0
922,0.0
923,1.0
924,0.0
925,0.0
926,0.8028169014084507
927,0.6666666666666666
928,0.5445544554455446
929,0.6025641025641025
930,0.30434782608695654
931,0.06451612903225806
932,0.4405594405594406
933,0.22727272727272727
934,0.42953020134228187
935,0.045454545454545456
936,0.4857142857142857
937,0.7857142857142857
938,0.6233766233766234
939,1.0
940,0.7352941176470589
941,0.5161290322580645
942,0.8
943,0.75
944,0.5333333333333333
945,0.16666666666666666
946,0.47058823529411764
947,0.5
948,0.6
949,0.8085106382978723
950,0.8333333333333334
951,0.868421052631579
952,0.6666666666666666
953,0.3333333333333333
954,0.6923076923076923
955,0.8571428571428571
956,0.8333333333333334
957,1.0
958,0.8181818181818182
959,1.0
960,0.7916666666666666
961,0.5333333333333333
962,0.2
963,0.8
964,1.0
965,0.5
966,0.5
967,0.42857142857142855
968,0.25
969,1.0
970,1.0
971,0.5
972,0.5
973,0.8571428571428571
974,0.6
975,1.0
976,1.0
977,0.7407407407407407
978,0.8
979,1.0
980,0.5
981,1.0
982,1.0
983,0.7142857142857143
984,0.0
985,0.5714285714285714
986,0.8333333333333334
987,0.4
988,0.35294117647058826
989,0.5714285714285714
990,0.6428571428571429
991,1.0
992,1.0
993,0.0
994,0.5
995,1.0
996,0.0
997,1.0
998,1.0
999,1.0
1000,0.7127659574468085
1001,0.391304347826087
1002,0.4298245614035088
1003,0.2
1004,0.17647058823529413
1005,0.9428571428571428
1006,0.26153846153846155
1007,0.49230769230769234
1008,0.6031746031746031
1009,0.6949152542372882
1010,0.6
1011,0.6153846153846154
1012,0.40625
1013,0.6
1014,0.8
1015,0.36904761904761907
1016,0.3333333333333333
1017,0.7333333333333333
1018,0.746031746031746
1019,0.2982456140350877
1020,0.6219512195121951
1021,0.352
1022,0.8
1023,0.7647058823529411
1024,0.6538461538461539
1025,0.3333333333333333
1026,0.375
1027,1.0
1028,0.5
1029,1.0
1030,0.5
1031,0.7692307692307693
1032,0.4166666666666667
1033,0.2857142857142857
1034,0.9130434782608695
1035,0.36
1036,1.0
1037,1.0
1038,0.5
1039,0.75
1040,1.0
1041,0.8
1042,0.6
1043,0.5
1044,0.6666666666666666
1045,0.75
1046,1.0
1047,1.0
1048,0.6666666666666666
1049,0.25
1050,0.0
1051,0.0
1052,0.875
1053,0.7777777777777778
1054,0.6
1055,1.0
1056,0.2
1057,0.44
1058,0.5833333333333334
1059,0.2857142857142857
1060,0.6666666666666666
1061,0.8333333333333334
1062,0.0
1063,1.0
1064,1.0
1065,0.4356060606060606
1066,0.5655172413793104
1067,0.336283185840708
1068,0.28695652173913044
1069,0.5723270440251572
1070,0.546875
1071,0.7083333333333334
1072,0.5384615384615384
1073,0.6805555555555556
1074,0.524390243902439
1075,0.3404255319148936
1076,0.36363636363636365
1077,0.86
1078,0.4666666666666667
1079,0.46153846153846156
1080,0.4666666666666667
1081,0.875
1082,0.8181818181818182
1083,0.3055555555555556
1084,0.14492753623188406
1085,1.0
1086,0.5555555555555556
1087,0.5
1088,0.5454545454545454
1089,0.875
1090,0.5714285714285714
1091,0.9090909090909091
1092,0.6585365853658537
1093,0.10714285714285714
1094,0.9130434782608695
1095,0.6
1096,0.5185185185185185
1097,0.1875
1098,0.42857142857142855
1099,0.9047619047619048
1100,0.3333333333333333
1101,1.0
1102,1.0
1103,0.7777777777777778
1104,0.4166666666666667
1105,0.875
1106,1.0
1107,0.6666666666666666
1108,0.375
1109,0.5
1110,0.5
1111,0.1875
1112,0.0
1113,1.0
1114,0.0
1115,0.8333333333333334
1116,1.0
1117,0.5
1118,1.0
1119,1.0
1120,0.0
1121,0.0
1122,0.0
1123,1.0
1124,0.625
1125,0.6
1126,0.3333333333333333
1127,1.0
1128,0.6666666666666666
1129,0.7142857142857143
1130,0.0
1131,0.0
1132,0.5
1133,0.0
1134,1.0
1135,1.0
1136,0.0
1137,1.0
1138,0.2631578947368421
1139,0.3333333333333333
1140,0.3333333333333333
1141,0.5
1142,0.5
1143,1.0
1144,1.0
1145,0.0
1146,1.0
1147,1.0
1148,0.0
1149,1.0
1150,1.0
